Month,AustralianPort,ForeignPort,Country,Passengers_In,Passengers_Out,Passengers_Total,Year,Month_num
20-Jan,Sydney,Abu Dhabi,United Arab Emirates,24693,19546,44239,2020,1
20-Jan,Sydney,Anchorage,USA,0,0,0,2020,1
20-Jan,Sydney,Apia,Western Samoa,2662,1935,4597,2020,1
20-Jan,Sydney,Auckland,New Zealand,79691,76048,155739,2020,1
20-Jan,Sydney,Bangkok,Thailand,18547,17062,35609,2020,1
20-Jan,Sydney,Beijing,China,15311,14167,29478,2020,1
20-Jan,Sydney,Changsha,China,2049,1699,3748,2020,1
20-Jan,Sydney,Chengdu,China,2786,2699,5485,2020,1
20-Jan,Sydney,Chicago,USA,0,0,0,2020,1
20-Jan,Sydney,Chongqing,China,2212,1790,4002,2020,1
20-Jan,Sydney,Christchurch,New Zealand,24283,22930,47213,2020,1
20-Jan,Sydney,Dallas,USA,8919,10563,19482,2020,1
20-Jan,Sydney,Denpasar,Indonesia,33854,29606,63460,2020,1
20-Jan,Sydney,Doha,Qatar,24273,22372,46645,2020,1
20-Jan,Sydney,Dubai,United Arab Emirates,41032,33230,74262,2020,1
20-Jan,Sydney,Fuzhou,China,2762,2784,5546,2020,1
20-Jan,Sydney,Guangzhou,China,29491,27363,56854,2020,1
20-Jan,Sydney,Haikou,China,2252,2146,4398,2020,1
20-Jan,Sydney,Hangzhou,China,1750,1475,3225,2020,1
20-Jan,Sydney,Hanoi,Vietnam,3034,3048,6082,2020,1
20-Jan,Sydney,Ho Chi Minh City,Vietnam,12205,11515,23720,2020,1
20-Jan,Sydney,Hong Kong,Hong Kong (SAR),64011,50423,114434,2020,1
20-Jan,Sydney,Honolulu,USA,18845,16912,35757,2020,1
20-Jan,Sydney,Houston,USA,6708,6078,12786,2020,1
20-Jan,Sydney,Jakarta,Indonesia,10079,8631,18710,2020,1
20-Jan,Sydney,Johannesburg,South Africa,7404,7296,14700,2020,1
20-Jan,Sydney,Kuala Lumpur,Malaysia,36334,31173,67507,2020,1
