21-May,Brisbane,Nauru,Nauru,66,94,160,2021,5
21-May,Brisbane,Port Moresby,Papua New Guinea,562,392,954,2021,5
21-May,Brisbane,Port Vila,Vanuatu,255,180,435,2021,5
21-May,Brisbane,Queenstown,New Zealand,981,995,1976,2021,5
21-May,Brisbane,Singapore,Singapore,2118,1212,3330,2021,5
21-May,Brisbane,Taipei,Taiwan,68,102,170,2021,5
21-May,Brisbane,Tokyo,Japan,0,0,0,2021,5
21-May,Brisbane,Wellington,New Zealand,2974,2522,5496,2021,5
21-Jun,Brisbane,Auckland,New Zealand,14156,12270,26426,2021,6
21-Jun,Brisbane,Christchurch,New Zealand,4249,4203,8452,2021,6
21-Jun,Brisbane,Doha,Qatar,889,670,1559,2021,6
21-Jun,Brisbane,Dubai,United Arab Emirates,453,398,851,2021,6
21-Jun,Brisbane,Guangzhou,China,0,0,0,2021,6
21-Jun,Brisbane,Hong Kong,Hong Kong (SAR),113,54,167,2021,6
21-Jun,Brisbane,Honiara,Solomon Islands,87,41,128,2021,6
21-Jun,Brisbane,Los Angeles,USA,0,0,0,2021,6
21-Jun,Brisbane,Nadi,Fiji,112,0,112,2021,6
21-Jun,Brisbane,Nauru,Nauru,72,60,132,2021,6
21-Jun,Brisbane,Port Moresby,Papua New Guinea,531,477,1008,2021,6
21-Jun,Brisbane,Port Vila,Vanuatu,255,195,450,2021,6
21-Jun,Brisbane,Queenstown,New Zealand,1914,2342,4256,2021,6
21-Jun,Brisbane,Singapore,Singapore,2035,1426,3461,2021,6
21-Jun,Brisbane,Taipei,Taiwan,59,45,104,2021,6
21-Jun,Brisbane,Tokyo,Japan,0,0,0,2021,6
21-Jun,Brisbane,Wellington,New Zealand,3096,2701,5797,2021,6
,,,,,,,,
,,,,,,,,
,,,,,,,,
