Month,AustralianPort,ForeignPort,Country,Passengers_In,Passengers_Out,Passengers_Total,Year,Month_num
21-Jan,Sydney,Abu Dhabi,United Arab Emirates,530,765,1295,2021,1
21-Jan,Sydney,Anchorage,USA,0,0,0,2021,1
21-Jan,Sydney,Auckland,New Zealand,2382,1577,3959,2021,1
21-Jan,Sydney,Bahrain,Bahrain,0,0,0,2021,1
21-Jan,Sydney,Bangkok,Thailand,94,299,393,2021,1
21-Jan,Sydney,Chicago,USA,0,0,0,2021,1
21-Jan,Sydney,Chongqing,China,0,0,0,2021,1
21-Jan,Sydney,Christchurch,New Zealand,0,0,0,2021,1
21-Jan,Sydney,Cincinnati,USA,0,0,0,2021,1
21-Jan,Sydney,Colombo,Sri Lanka,210,745,955,2021,1
21-Jan,Sydney,Dallas,USA,0,0,0,2021,1
21-Jan,Sydney,Doha,Qatar,903,1560,2463,2021,1
21-Jan,Sydney,Dubai,United Arab Emirates,345,1518,1863,2021,1
21-Jan,Sydney,Guam,Guam,0,0,0,2021,1
21-Jan,Sydney,Guangzhou,China,120,2105,2225,2021,1
21-Jan,Sydney,Hangzhou,China,133,1102,1235,2021,1
21-Jan,Sydney,Hanoi,Vietnam,0,0,0,2021,1
21-Jan,Sydney,Ho Chi Minh City,Vietnam,123,349,472,2021,1
21-Jan,Sydney,Hong Kong,Hong Kong (SAR),578,679,1257,2021,1
21-Jan,Sydney,Honolulu,USA,0,0,0,2021,1
21-Jan,Sydney,Jakarta,Indonesia,149,240,389,2021,1
21-Jan,Sydney,Kota Kinabalu,Malaysia,0,0,0,2021,1
21-Jan,Sydney,Kuala Lumpur,Malaysia,142,207,349,2021,1
21-Jan,Sydney,Los Angeles,USA,1437,1932,3369,2021,1
21-Jan,Sydney,Louisville,USA,0,0,0,2021,1
21-Jan,Sydney,Manila,Philippines,56,82,138,2021,1
21-Jan,Sydney,Nadi,Fiji,288,171,459,2021,1
21-Jan,Sydney,Nagoya,Japan,0,0,0,2021,1
21-Jan,Sydney,Nanjing,China,0,0,0,2021,1
21-Jan,Sydney,New Delhi,India,93,601,694,2021,1
21-Jan,Sydney,New York,USA,0,0,0,2021,1
21-Jan,Sydney,Noumea,New Caledonia,74,55,129,2021,1
21-Jan,Sydney,San Francisco,USA,777,1130,1907,2021,1
21-Jan,Sydney,Santiago,Chile,26,0,26,2021,1
21-Jan,Sydney,Seoul,Korea,167,700,867,2021,1
21-Jan,Sydney,Shanghai,China,21,883,904,2021,1
21-Jan,Sydney,Shenzhen,China,0,0,0,2021,1
21-Jan,Sydney,Singapore,Singapore,1249,1460,2709,2021,1
21-Jan,Sydney,Taipei,Taiwan,65,213,278,2021,1
21-Jan,Sydney,Tokyo,Japan,844,560,1404,2021,1
21-Jan,Sydney,Vancouver,Canada,0,0,0,2021,1
21-Jan,Sydney,Xiamen,China,226,1751,1977,2021,1
21-Feb,Sydney,Abu Dhabi,United Arab Emirates,514,428,942,2021,2
21-Feb,Sydney,Anchorage,USA,0,0,0,2021,2
