Month,AustralianPort,ForeignPort,Country,Passengers_In,Passengers_Out,Passengers_Total,Year,Month_num
19-Mar,Brisbane,Hong Kong,Hong Kong (SAR),14131,14983,29114,2019,3
19-Mar,Brisbane,Honiara,Solomon Islands,2010,1858,3868,2019,3
19-Mar,Brisbane,Honolulu,USA,2290,2655,4945,2019,3
19-Mar,Brisbane,Kuala Lumpur,Malaysia,3303,2679,5982,2019,3
19-Mar,Brisbane,Los Angeles,USA,13994,14812,28806,2019,3
19-Mar,Brisbane,Manila,Philippines,2548,2309,4857,2019,3
19-Mar,Brisbane,Nadi,Fiji,6667,7554,14221,2019,3
19-Mar,Brisbane,Nauru,Nauru,832,663,1495,2019,3
19-Mar,Brisbane,Noumea,New Caledonia,2090,2275,4365,2019,3
19-Mar,Brisbane,Port Moresby,Papua New Guinea,7789,7464,15253,2019,3
19-Mar,Brisbane,Port Vila,Vanuatu,2630,2882,5512,2019,3
19-Mar,Brisbane,Queenstown,New Zealand,3283,2940,6223,2019,3
19-Mar,Brisbane,Seoul,Korea,4024,4796,8820,2019,3
19-Mar,Brisbane,Shanghai,China,2702,2714,5416,2019,3
19-Mar,Brisbane,Shenzhen,China,1197,1148,2345,2019,3
19-Mar,Brisbane,Singapore,Singapore,35165,33662,68827,2019,3
19-Mar,Brisbane,Taipei,Taiwan,9113,10090,19203,2019,3
19-Mar,Brisbane,Tokyo,Japan,7909,7908,15817,2019,3
19-Mar,Brisbane,Vancouver,Canada,5521,6098,11619,2019,3
19-Mar,Brisbane,Wellington,New Zealand,7304,6340,13644,2019,3
19-Apr,Brisbane,Abu Dhabi,United Arab Emirates,6921,8665,15586,2019,4
19-Apr,Brisbane,Apia,Western Samoa,1032,1047,2079,2019,4
19-Apr,Brisbane,Auckland,New Zealand,43044,40398,83442,2019,4
19-Apr,Brisbane,Bangkok,Thailand,3962,4361,8323,2019,4
19-Apr,Brisbane,Christchurch,New Zealand,12572,12467,25039,2019,4
19-Apr,Brisbane,Denpasar,Indonesia,15443,17134,32577,2019,4
19-Apr,Brisbane,Dubai,United Arab Emirates,14756,22072,36828,2019,4
19-Apr,Brisbane,Dunedin,New Zealand,2253,1997,4250,2019,4
19-Apr,Brisbane,Espiritu Santo,Vanuatu,482,459,941,2019,4
19-Apr,Brisbane,Guangzhou,China,7657,7730,15387,2019,4
19-Apr,Brisbane,Hong Kong,Hong Kong (SAR),16565,16541,33106,2019,4
19-Apr,Brisbane,Honiara,Solomon Islands,2099,1879,3978,2019,4
19-Apr,Brisbane,Honolulu,USA,2885,3142,6027,2019,4
19-Apr,Brisbane,Kuala Lumpur,Malaysia,3892,3621,7513,2019,4
19-Apr,Brisbane,Los Angeles,USA,14133,16654,30787,2019,4
19-Apr,Brisbane,Manila,Philippines,3169,3287,6456,2019,4
19-Apr,Brisbane,Nadi,Fiji,8386,8673,17059,2019,4
19-Apr,Brisbane,Nauru,Nauru,715,799,1514,2019,4
19-Apr,Brisbane,Noumea,New Caledonia,2671,2486,5157,2019,4
19-Apr,Brisbane,Port Moresby,Papua New Guinea,8138,8471,16609,2019,4
19-Apr,Brisbane,Port Vila,Vanuatu,3535,3704,7239,2019,4
19-Apr,Brisbane,Queenstown,New Zealand,3585,3181,6766,2019,4
19-Apr,Brisbane,Seoul,Korea,3093,4102,7195,2019,4
19-Apr,Brisbane,Shanghai,China,3303,3406,6709,2019,4
19-Apr,Brisbane,Shenzhen,China,1294,1628,2922,2019,4
19-Apr,Brisbane,Singapore,Singapore,38796,40040,78836,2019,4
19-Apr,Brisbane,Taipei,Taiwan,8896,10134,19030,2019,4
