Month,AustralianPort,ForeignPort,Country,Passengers_In,Passengers_Out,Passengers_Total,Year,Month_num
22-Jan,Sydney,Abu Dhabi,United Arab Emirates,5525,3482,9007,2022,1
22-Jan,Sydney,Anchorage,USA,0,0,0,2022,1
22-Jan,Sydney,Auckland,New Zealand,3120,1078,4198,2022,1
22-Jan,Sydney,Bahrain,Bahrain,0,0,0,2022,1
22-Jan,Sydney,Bangkok,Thailand,5461,1433,6894,2022,1
22-Jan,Sydney,Chicago,USA,0,0,0,2022,1
22-Jan,Sydney,Chongqing,China,0,0,0,2022,1
22-Jan,Sydney,Christchurch,New Zealand,0,0,0,2022,1
22-Jan,Sydney,Cincinnati,USA,0,0,0,2022,1
22-Jan,Sydney,Colombo,Sri Lanka,3356,2435,5791,2022,1
22-Jan,Sydney,Dallas,USA,0,0,0,2022,1
22-Jan,Sydney,Doha,Qatar,9567,7129,16696,2022,1
22-Jan,Sydney,Dubai,United Arab Emirates,14258,12441,26699,2022,1
22-Jan,Sydney,Guangzhou,China,1079,932,2011,2022,1
22-Jan,Sydney,Haikou,China,0,0,0,2022,1
22-Jan,Sydney,Hangzhou,China,78,389,467,2022,1
22-Jan,Sydney,Hanoi,Vietnam,59,372,431,2022,1
22-Jan,Sydney,Ho Chi Minh City,Vietnam,752,794,1546,2022,1
22-Jan,Sydney,Hong Kong,Hong Kong (SAR),1858,148,2006,2022,1
22-Jan,Sydney,Honolulu,USA,5202,4391,9593,2022,1
22-Jan,Sydney,Jakarta,Indonesia,562,535,1097,2022,1
22-Jan,Sydney,Johannesburg,South Africa,2514,1656,4170,2022,1
22-Jan,Sydney,Kuala Lumpur,Malaysia,2863,1573,4436,2022,1
22-Jan,Sydney,London,UK,5594,4002,9596,2022,1
22-Jan,Sydney,Los Angeles,USA,13714,9852,23566,2022,1
22-Jan,Sydney,Louisville,USA,0,0,0,2022,1
22-Jan,Sydney,Manila,Philippines,564,539,1103,2022,1
22-Jan,Sydney,Nadi,Fiji,19396,12064,31460,2022,1
22-Jan,Sydney,Nagoya,Japan,0,0,0,2022,1
22-Jan,Sydney,New Delhi,India,8263,4528,12791,2022,1
22-Jan,Sydney,New York,USA,0,0,0,2022,1
22-Jan,Sydney,Noumea,New Caledonia,255,233,488,2022,1
22-Jan,Sydney,Phuket,Thailand,1989,1902,3891,2022,1
22-Jan,Sydney,Port Moresby,Papua New Guinea,529,382,911,2022,1
22-Jan,Sydney,Port Vila,Vanuatu,30,0,30,2022,1
22-Jan,Sydney,San Francisco,USA,4077,3231,7308,2022,1
22-Jan,Sydney,Seoul,Korea,2510,1482,3992,2022,1
22-Jan,Sydney,Shanghai,China,426,456,882,2022,1
22-Jan,Sydney,Shenzhen,China,0,0,0,2022,1
22-Jan,Sydney,Singapore,Singapore,30668,19154,49822,2022,1
22-Jan,Sydney,Taipei,Taiwan,237,159,396,2022,1
22-Jan,Sydney,Tokyo,Japan,3650,1485,5135,2022,1
22-Jan,Sydney,Vancouver,Canada,4906,4211,9117,2022,1
22-Jan,Sydney,Xiamen,China,659,699,1358,2022,1
22-Feb,Sydney,Abu Dhabi,United Arab Emirates,5445,3377,8822,2022,2
22-Feb,Sydney,Anchorage,USA,0,0,0,2022,2
22-Feb,Sydney,Auckland,New Zealand,3740,923,4663,2022,2
22-Feb,Sydney,Bahrain,Bahrain,0,0,0,2022,2
22-Feb,Sydney,Bangkok,Thailand,5476,2112,7588,2022,2
22-Feb,Sydney,Chicago,USA,0,0,0,2022,2
22-Feb,Sydney,Chongqing,China,0,0,0,2022,2
22-Feb,Sydney,Christchurch,New Zealand,0,0,0,2022,2
22-Feb,Sydney,Cincinnati,USA,0,0,0,2022,2
22-Feb,Sydney,Colombo,Sri Lanka,3492,2920,6412,2022,2
22-Feb,Sydney,Dallas,USA,1002,1228,2230,2022,2
22-Feb,Sydney,Doha,Qatar,8832,6988,15820,2022,2
22-Feb,Sydney,Dubai,United Arab Emirates,13149,10683,23832,2022,2
22-Feb,Sydney,Guangzhou,China,1794,1010,2804,2022,2
22-Feb,Sydney,Haikou,China,0,0,0,2022,2
22-Feb,Sydney,Hanoi,Vietnam,472,317,789,2022,2
22-Feb,Sydney,Ho Chi Minh City,Vietnam,1192,1256,2448,2022,2
22-Feb,Sydney,Hong Kong,Hong Kong (SAR),1574,0,1574,2022,2
22-Feb,Sydney,Honolulu,USA,2460,2414,4874,2022,2
22-Feb,Sydney,Jakarta,Indonesia,1063,581,1644,2022,2
22-Feb,Sydney,Johannesburg,South Africa,2453,1911,4364,2022,2
22-Feb,Sydney,Kuala Lumpur,Malaysia,2597,1091,3688,2022,2
22-Feb,Sydney,London,UK,4937,3814,8751,2022,2
22-Feb,Sydney,Los Angeles,USA,11818,10317,22135,2022,2
22-Feb,Sydney,Louisville,USA,0,0,0,2022,2
22-Feb,Sydney,Manila,Philippines,600,823,1423,2022,2
22-Feb,Sydney,Nadi,Fiji,7076,5958,13034,2022,2
22-Feb,Sydney,Nagoya,Japan,0,0,0,2022,2
22-Feb,Sydney,New Delhi,India,7063,4321,11384,2022,2
22-Feb,Sydney,New York,USA,0,0,0,2022,2
22-Feb,Sydney,Noumea,New Caledonia,363,208,571,2022,2
22-Feb,Sydney,Osaka,Japan,0,0,0,2022,2
