Month,AustralianPort,ForeignPort,Country,Passengers_In,Passengers_Out,Passengers_Total,Year,Month_num
19-Feb,Sydney,Fuzhou,China,2460,1935,4395,2019,2
19-Feb,Sydney,Guangzhou,China,27910,24137,52047,2019,2
19-Feb,Sydney,Haikou,China,1809,1582,3391,2019,2
19-Feb,Sydney,Hangzhou,China,1413,1299,2712,2019,2
19-Feb,Sydney,Hanoi,Vietnam,3073,2171,5244,2019,2
19-Feb,Sydney,Ho Chi Minh City,Vietnam,10856,9349,20205,2019,2
19-Feb,Sydney,Hong Kong,Hong Kong (SAR),57130,46911,104041,2019,2
19-Feb,Sydney,Honolulu,USA,14470,12344,26814,2019,2
19-Feb,Sydney,Houston,USA,4781,4507,9288,2019,2
19-Feb,Sydney,Jakarta,Indonesia,7766,5689,13455,2019,2
19-Feb,Sydney,Johannesburg,South Africa,5167,4820,9987,2019,2
19-Feb,Sydney,Kuala Lumpur,Malaysia,29272,21550,50822,2019,2
19-Feb,Sydney,Kunming,China,2430,1898,4328,2019,2
19-Feb,Sydney,London,UK,8158,8695,16853,2019,2
19-Feb,Sydney,Los Angeles,USA,37221,30902,68123,2019,2
19-Feb,Sydney,Louisville,USA,0,0,0,2019,2
19-Feb,Sydney,Manila,Philippines,18796,14638,33434,2019,2
19-Feb,Sydney,Nadi,Fiji,13504,12306,25810,2019,2
19-Feb,Sydney,Nanjing,China,1923,1279,3202,2019,2
19-Feb,Sydney,New Delhi,India,4866,3656,8522,2019,2
19-Feb,Sydney,New York,USA,2292,1736,4028,2019,2
19-Feb,Sydney,Noumea,New Caledonia,3021,4591,7612,2019,2
19-Feb,Sydney,Osaka,Japan,4030,3227,7257,2019,2
19-Feb,Sydney,Phuket,Thailand,3786,3580,7366,2019,2
19-Feb,Sydney,Port Moresby,Papua New Guinea,507,520,1027,2019,2
19-Feb,Sydney,Port Vila,Vanuatu,2227,2094,4321,2019,2
19-Feb,Sydney,Qingdao,China,2343,2164,4507,2019,2
19-Feb,Sydney,Queenstown,New Zealand,12314,12173,24487,2019,2
19-Feb,Sydney,Rarotonga,Cook Islands,702,715,1417,2019,2
19-Feb,Sydney,San Francisco,USA,12614,11282,23896,2019,2
19-Feb,Sydney,Santiago,Chile,7815,7628,15443,2019,2
19-Feb,Sydney,Seoul,Korea,21255,20570,41825,2019,2
19-Feb,Sydney,Shanghai,China,23305,20795,44100,2019,2
19-Feb,Sydney,Shenzhen,China,3138,2390,5528,2019,2
19-Feb,Sydney,Singapore,Singapore,63805,50930,114735,2019,2
19-Feb,Sydney,Suva,Fiji,430,428,858,2019,2
19-Feb,Sydney,Taipei,Taiwan,8729,6904,15633,2019,2
19-Feb,Sydney,Tianjin,China,353,372,725,2019,2
19-Feb,Sydney,Tokyo,Japan,21280,19023,40303,2019,2
19-Feb,Sydney,Tongatapu,Tonga,874,594,1468,2019,2
19-Feb,Sydney,Toronto,Canada,1490,1071,2561,2019,2
19-Feb,Sydney,Vancouver,Canada,6438,5495,11933,2019,2
19-Feb,Sydney,Wellington,New Zealand,13483,14429,27912,2019,2
19-Feb,Sydney,Wuhan,China,2238,1510,3748,2019,2
19-Feb,Sydney,Xiamen,China,3299,2705,6004,2019,2
19-Feb,Sydney,Xi'an,China,2125,1771,3896,2019,2
19-Feb,Sydney,Zhengzhou,China,1572,1033,2605,2019,2
19-Mar,Sydney,Abu Dhabi,United Arab Emirates,12452,16890,29342,2019,3
19-Mar,Sydney,Anchorage,USA,0,0,0,2019,3
19-Mar,Sydney,Apia,Western Samoa,1387,1237,2624,2019,3
